gender,job,child_in_family,activities,weekly_study_hours,Nationality,Score,Health,FamilyEDU,age,Predict
M,no,3,no,27,Russian,2.93,1,0,19,F
F,no,2,no,47,Russian,2.98,4,1,21,F
F,no,9,yes,13,Russian,2.98,2,0,22,F
F,no,5,no,3,Russian,3.01,5,0,20,F
M,no,5,no,10,Russian,3.04,3,1,19,F
F,no,2,no,26,Russian,3.07,1,1,19,F
M,no,3,yes,23,Russian,3.09,1,1,21,F
M,yes,2,yes,34,Russian,3.12,2,0,18,F
M,no,6,no,25,Russian,3.14,5,0,17,F
F,no,3,yes,18,Russian,3.14,2,0,22,F
F,no,2,no,7,Russian,3.15,2,1,18,F
M,no,1,no,7,Russian,3.15,1,1,20,F
F,yes,7,no,4,Russian,3.17,4,1,18,F
F,no,10,no,2,Russian,3.17,4,0,18,F
F,no,3,no,39,Russian,3.18,3,0,21,F
M,no,6,no,0,Russian,3.18,1,0,20,F
F,no,3,yes,30,Russian,3.19,3,0,21,F
M,no,2,yes,28,Russian,3.19,5,1,21,F
M,no,1,no,37,Russian,3.21,1,0,17,F
F,no,2,no,27,Russian,3.22,2,1,19,F
M,yes,3,no,15,Russian,3.22,1,0,19,F
M,no,8,no,4,Russian,3.24,2,1,22,F
F,no,9,no,2,Russian,3.24,2,1,18,F
M,no,9,no,1,Russian,3.24,4,1,19,F
F,no,4,no,35,Russian,3.25,4,0,21,F
F,no,5,no,22,Russian,3.25,3,1,17,F
M,no,3,no,34,Russian,3.26,5,0,21,F
M,no,0,no,23,Russian,3.26,1,1,19,F
M,no,1,yes,17,Russian,3.26,3,1,20,F
F,no,3,no,19,Russian,3.26,2,0,17,F
F,no,0,no,14,Russian,3.27,1,0,21,F
F,no,4,no,30,Russian,3.27,2,0,22,F
M,no,4,no,30,Russian,3.27,2,0,18,F
F,no,1,no,24,Russian,3.28,2,1,17,F
F,no,3,yes,31,Russian,3.29,5,1,17,F
F,no,1,no,21,Russian,3.29,4,1,20,F
M,no,2,yes,19,Russian,3.29,5,0,22,F
M,no,1,no,29,Russian,3.29,4,0,22,F
M,no,4,no,21,Russian,3.29,2,0,18,F
M,no,4,no,18,Russian,3.3,2,0,18,F
F,no,4,no,31,Russian,3.3,3,1,22,F
M,yes,7,no,4,Russian,3.31,2,0,22,F
F,yes,6,no,3,Russian,3.31,2,0,17,F
F,no,4,no,3,Russian,3.31,3,1,21,F
M,yes,4,no,3,Russian,3.31,1,0,17,F
M,yes,5,yes,5,Russian,3.31,3,0,18,F
F,no,5,yes,27,Russian,3.31,2,0,20,F
M,no,0,yes,28,Russian,3.32,2,1,22,F
F,no,4,no,32,Russian,3.32,3,1,21,F
F,no,0,no,14,Russian,3.32,1,0,18,F
M,no,6,yes,16,Russian,3.33,4,0,19,F
F,no,2,no,24,Russian,3.34,4,1,18,F
M,no,9,no,0,Russian,3.34,3,0,18,F
F,no,3,no,32,Russian,3.34,4,1,22,F
M,no,2,no,3,Russian,3.35,4,0,21,F
F,no,6,no,31,Russian,3.35,3,1,17,F
F,no,3,no,21,Russian,3.35,2,0,21,F
M,yes,2,no,18,Russian,3.35,3,0,19,F
M,no,7,no,26,Russian,3.36,1,1,17,F
M,no,4,no,23,Russian,3.36,3,1,22,F
F,no,2,no,1,Russian,3.36,2,0,20,F
F,no,5,no,33,Russian,3.36,3,0,19,F
M,no,7,no,2,Russian,3.36,2,1,17,F
F,no,1,no,34,Russian,3.37,3,0,20,F
M,no,2,no,18,Russian,3.37,5,1,21,F
F,yes,6,no,2,Russian,3.38,3,1,18,F
M,no,3,no,27,Russian,3.38,2,0,19,F
M,no,2,no,8,Russian,3.39,2,1,21,F
M,no,4,no,14,Russian,3.39,4,1,17,F
M,no,10,yes,22,Russian,3.39,1,0,17,F
F,no,1,no,15,Russian,3.4,4,1,22,F
F,yes,3,no,22,Russian,3.4,4,1,18,F
M,yes,10,no,1,Russian,3.4,3,0,21,F
M,yes,8,no,3,Russian,3.41,5,0,22,F
F,no,2,no,20,Russian,3.41,4,1,20,F
F,no,7,yes,27,Russian,3.41,1,0,18,F
F,no,3,no,24,Russian,3.41,3,0,19,F
F,no,1,yes,5,Russian,3.42,3,1,18,F
F,no,7,no,34,Russian,3.42,3,0,21,F
M,no,3,no,16,Russian,3.42,3,1,19,F
F,yes,3,no,3,Russian,3.42,5,1,18,F
F,no,1,no,15,Russian,3.42,2,1,19,F
F,no,7,no,11,Russian,3.43,4,1,19,F
M,no,7,no,32,Russian,3.43,5,0,22,F
M,no,3,no,28,Russian,3.44,5,1,18,F
M,no,1,no,24,Russian,3.44,1,1,18,F
F,no,2,no,9,Russian,3.44,3,0,21,F
F,no,3,yes,14,Russian,3.44,4,1,17,F
M,no,3,no,16,Russian,3.44,4,0,21,F
M,no,3,no,29,Russian,3.44,4,0,19,F
M,no,0,no,14,Russian,3.44,2,0,20,F
M,no,4,no,10,Russian,3.45,4,0,22,D
M,no,5,no,31,Russian,3.46,5,0,21,D
M,no,4,no,34,Russian,3.46,5,1,22,D
F,no,5,no,3,Russian,3.46,2,1,18,D
F,no,2,yes,34,Russian,3.46,3,0,18,D
F,no,3,yes,2,Russian,3.46,1,1,22,D
M,no,3,no,4,Russian,3.47,5,1,17,D
M,yes,0,no,28,Russian,3.47,4,0,19,D
F,no,0,no,5,Russian,3.47,4,0,18,D
F,no,2,no,4,Russian,3.47,3,0,22,D
F,no,2,no,25,Russian,3.47,4,1,21,D
M,no,5,no,29,Russian,3.47,2,1,20,D
M,yes,6,no,1,Russian,3.48,2,1,18,D
F,no,7,no,2,Russian,3.48,2,0,18,D
F,no,2,no,0,Russian,3.48,5,1,19,D
F,no,3,no,16,Russian,3.48,4,0,20,D
M,no,3,yes,31,Russian,3.49,2,1,18,D
F,no,1,no,4,Russian,3.49,3,1,20,D
M,no,5,yes,13,Russian,3.49,3,1,21,D
M,no,4,no,24,Russian,3.49,4,1,21,D
F,yes,9,no,2,Russian,3.49,3,0,17,D
M,yes,2,yes,4,Russian,3.49,1,0,19,D
F,no,1,no,22,Russian,3.49,3,0,21,D
M,no,6,yes,0,Russian,3.49,2,0,18,D
M,no,2,no,24,Russian,3.49,1,1,20,D
F,no,6,no,1,Russian,3.5,5,0,22,D
F,no,1,no,19,Russian,3.5,3,0,19,D
M,no,1,yes,19,Russian,3.5,2,1,19,D
F,no,6,no,5,Russian,3.5,3,1,21,D
F,yes,0,no,13,Russian,3.5,5,0,22,D
M,no,4,no,26,Russian,3.51,2,1,18,D
M,no,4,no,41,Russian,3.51,5,1,19,D
F,no,3,no,47,Russian,3.51,3,1,20,D
F,no,2,no,9,Russian,3.51,3,0,21,D
F,no,4,no,7,Russian,3.51,4,0,22,D
M,no,1,no,3,Russian,3.52,5,0,22,D
M,no,4,yes,14,Russian,3.52,1,1,19,D
F,no,4,no,26,Russian,3.52,5,0,22,D
M,no,6,yes,27,Russian,3.53,2,1,21,D
F,yes,5,no,25,Russian,3.53,2,0,18,D
F,yes,4,no,16,Russian,3.54,3,0,20,D
F,no,4,no,27,Russian,3.54,2,1,17,D
M,yes,6,no,0,Russian,3.54,1,0,22,D
M,no,1,no,3,Russian,3.54,4,0,22,D
F,no,2,no,6,Russian,3.54,1,1,21,D
M,no,2,no,12,Russian,3.55,5,1,20,D
F,no,1,yes,11,Russian,3.55,5,0,21,D
F,no,4,no,23,Russian,3.55,4,0,20,D
M,no,2,no,23,Russian,3.55,4,1,20,D
M,no,0,no,16,Russian,3.56,5,1,22,D
M,yes,2,yes,3,Russian,3.56,3,1,20,D
F,no,1,no,29,Russian,3.56,5,1,18,D
M,no,3,yes,18,Russian,3.56,2,1,22,D
F,no,0,no,3,Russian,3.56,2,0,17,D
M,no,3,no,6,Russian,3.56,3,1,20,D
M,no,8,no,2,Russian,3.56,3,1,20,D
M,no,0,no,34,Russian,3.56,1,0,20,D
F,no,4,yes,22,Russian,3.57,4,1,22,D
F,yes,5,no,4,Russian,3.57,1,1,17,D
F,no,3,no,3,Russian,3.57,1,0,22,D
M,yes,10,no,2,Russian,3.57,5,0,17,D
F,no,5,no,18,Russian,3.57,2,1,19,D
M,no,0,no,8,Russian,3.57,4,1,19,D
F,no,1,no,33,Russian,3.57,4,0,21,D
M,no,0,yes,13,Russian,3.58,4,0,20,D
F,no,0,yes,17,Russian,3.58,1,0,21,D
M,yes,8,no,1,Russian,3.58,3,0,21,D
M,yes,7,yes,3,Russian,3.58,1,1,18,D
M,yes,4,yes,33,Russian,3.58,1,1,22,D
M,no,1,no,12,Russian,3.58,1,1,17,D
M,yes,3,no,24,Russian,3.58,1,1,21,D
M,no,4,no,33,Russian,3.58,1,0,17,D
M,no,1,yes,44,Russian,3.58,2,1,22,D
F,no,1,no,15,Russian,3.58,1,1,22,D
F,no,2,no,5,Russian,3.59,4,0,21,D
F,yes,7,no,5,Russian,3.59,4,1,21,D
F,no,5,no,22,Russian,3.59,2,0,17,D
M,no,1,no,9,Russian,3.59,5,1,18,D
M,no,4,yes,34,Russian,3.59,1,0,21,D
F,no,1,no,34,Russian,3.59,4,0,20,D
F,no,4,no,25,Russian,3.59,5,1,20,D
F,no,5,yes,31,Russian,3.6,4,1,19,D
M,no,1,no,33,Russian,3.6,5,0,22,D
F,no,10,yes,3,Russian,3.6,1,1,20,D
M,no,2,no,20,Russian,3.6,1,0,17,D
M,no,3,no,15,Russian,3.6,4,1,18,D
F,no,3,no,26,Russian,3.6,5,1,18,D
F,no,5,no,35,Russian,3.6,4,1,18,D
M,no,4,no,12,Russian,3.6,3,0,22,D
M,no,2,yes,5,Russian,3.61,1,1,19,D
M,no,1,no,31,Russian,3.61,1,1,21,D
F,no,3,yes,28,Russian,3.61,5,0,19,D
M,no,8,yes,5,Russian,3.61,2,0,20,D
F,no,1,no,33,Russian,3.61,1,0,18,D
F,no,3,no,2,Russian,3.61,2,1,21,D
F,no,5,yes,9,Russian,3.61,4,0,17,D
F,yes,2,yes,0,Russian,3.61,5,1,19,D
M,no,5,no,26,Russian,3.61,2,1,17,D
F,no,5,no,30,Russian,3.61,3,0,20,D
F,no,7,no,1,Russian,3.62,4,0,22,D
M,no,1,yes,26,Russian,3.62,5,0,19,D
F,no,2,no,2,Russian,3.62,4,1,19,D
M,no,5,no,9,Russian,3.62,5,0,20,D
F,no,2,no,30,Russian,3.62,5,0,17,D
F,no,3,no,24,Russian,3.62,2,1,19,D
M,no,4,no,21,Russian,3.62,5,1,19,D
F,no,2,no,14,Russian,3.63,3,1,20,D
F,no,1,no,24,Russian,3.63,2,1,20,D
F,no,3,no,34,Russian,3.63,2,1,19,D
M,no,1,yes,34,Russian,3.63,4,1,22,D
M,no,6,yes,27,Russian,3.63,4,1,21,D
F,no,3,no,16,Russian,3.64,1,0,19,D
F,no,1,yes,21,Russian,3.64,4,0,22,D
F,no,1,no,1,Russian,3.64,5,0,18,D
M,no,3,no,17,Russian,3.64,3,1,21,D
M,no,5,no,0,Russian,3.64,2,1,17,D
M,no,3,yes,12,Russian,3.64,2,0,17,D
F,no,2,no,22,Russian,3.64,2,0,18,D
F,no,1,yes,14,Russian,3.64,2,1,21,D
M,no,0,no,41,Russian,3.64,4,0,22,D
M,no,4,no,32,Russian,3.64,5,1,21,D
M,yes,1,no,4,Russian,3.64,2,1,19,D
F,no,1,no,22,Russian,3.64,2,0,20,D
F,no,3,no,17,Russian,3.64,2,0,18,D
M,no,2,no,2,Russian,3.64,2,0,21,D
F,no,4,no,33,Russian,3.64,5,1,21,D
F,no,5,no,29,Russian,3.64,4,0,20,D
F,yes,1,no,27,Russian,3.64,4,0,21,D
M,no,6,yes,34,Russian,3.64,4,1,20,D
M,no,3,no,2,Russian,3.64,3,1,21,D
F,no,3,no,22,Russian,3.65,5,1,21,D
M,no,7,no,33,Russian,3.65,2,0,22,D
M,no,5,no,17,Russian,3.65,2,0,20,D
M,no,7,no,4,Russian,3.65,2,0,18,D
F,no,7,yes,3,Russian,3.65,4,1,20,D
F,no,7,no,3,Russian,3.65,4,1,18,D
F,no,7,yes,17,Russian,3.65,1,1,19,D
M,no,3,no,6,Russian,3.66,4,0,18,D
M,no,7,no,9,Russian,3.66,5,0,17,D
M,yes,2,no,35,Russian,3.66,1,0,19,D
F,no,3,no,17,Russian,3.66,2,0,22,D
F,no,1,no,7,Russian,3.66,5,0,18,D
M,no,5,no,16,Russian,3.66,5,1,19,D
F,no,1,no,20,Russian,3.66,5,0,20,D
M,yes,7,no,0,Russian,3.66,1,1,21,D
M,no,2,no,27,Russian,3.66,1,0,20,D
M,no,0,no,24,Russian,3.66,1,0,17,D
M,no,2,no,30,Russian,3.66,4,0,17,D
M,no,6,no,20,Russian,3.66,1,1,17,D
M,no,0,no,27,Russian,3.66,2,1,22,D
M,no,6,no,2,Russian,3.66,4,0,21,D
F,no,6,no,16,Russian,3.66,4,0,18,D
M,yes,1,no,27,Russian,3.67,3,1,17,D
M,no,4,yes,24,Russian,3.67,2,1,17,D
M,no,4,no,23,Russian,3.67,1,0,19,D
M,no,1,no,15,Russian,3.67,4,0,17,D
M,no,3,no,25,Russian,3.67,1,1,20,D
F,no,2,no,32,Russian,3.67,4,0,17,D
M,no,3,no,35,Russian,3.67,1,0,19,D
F,no,3,no,3,Russian,3.67,4,1,18,D
F,no,1,no,28,Russian,3.67,1,1,22,D
M,no,1,no,3,Russian,3.68,2,1,21,D
F,no,0,no,21,Russian,3.68,3,0,20,D
M,no,3,no,35,Russian,3.68,3,0,18,D
F,no,7,yes,35,Russian,3.68,3,0,18,D
F,no,7,yes,14,Russian,3.68,1,0,22,D
F,yes,7,no,1,Russian,3.68,5,1,21,D
F,no,9,yes,0,Russian,3.68,1,0,21,D
M,no,2,no,12,Russian,3.68,5,0,18,D
F,no,3,no,35,Russian,3.68,2,1,17,D
M,no,4,no,2,Russian,3.69,2,1,22,D
M,yes,2,no,16,Russian,3.69,1,0,17,D
F,no,3,no,31,Russian,3.69,3,0,19,D
M,no,5,no,4,Russian,3.69,1,0,18,D
M,no,3,no,19,Russian,3.69,3,1,19,D
F,no,3,yes,15,Russian,3.69,2,0,17,D
F,no,1,no,30,Russian,3.69,4,0,18,D
F,no,7,no,17,Russian,3.69,5,0,22,D
F,no,2,no,23,Russian,3.69,1,1,22,D
M,no,1,no,3,Russian,3.69,5,1,19,D
F,no,7,no,4,Russian,3.69,5,1,20,D
M,no,0,no,25,Russian,3.69,3,1,22,D
M,yes,10,no,1,Russian,3.69,2,1,22,D
M,no,1,no,24,Russian,3.7,1,1,19,D
M,no,1,no,15,Russian,3.7,5,1,18,D
F,yes,7,no,1,Russian,3.7,3,1,21,D
M,no,1,yes,33,Russian,3.7,3,0,19,D
F,no,1,no,11,Russian,3.7,5,0,20,D
M,no,3,no,10,Russian,3.7,3,0,20,D
F,no,7,yes,15,Russian,3.7,4,1,18,D
M,no,5,no,34,Russian,3.7,2,0,19,D
M,no,3,no,30,Russian,3.7,5,0,17,D
F,yes,4,yes,4,Russian,3.7,3,1,19,D
F,no,2,no,28,Russian,3.7,2,0,17,D
M,no,5,yes,29,Russian,3.7,1,1,20,D
F,no,7,yes,30,Russian,3.71,2,1,19,D
M,no,4,no,31,Russian,3.71,4,0,18,D
F,no,8,no,1,Russian,3.71,3,1,18,D
F,no,6,no,16,Russian,3.71,4,1,18,D
F,no,2,yes,18,Russian,3.71,5,0,18,D
F,yes,1,no,4,Russian,3.71,3,0,18,D
F,no,8,no,32,Russian,3.71,1,1,20,D
F,no,2,no,12,Russian,3.71,1,1,18,D
F,yes,6,no,5,Russian,3.71,5,1,22,D
F,no,2,yes,15,Russian,3.71,3,0,21,D
F,no,3,no,31,Russian,3.71,1,1,17,D
M,no,2,no,2,Russian,3.71,2,1,17,D
F,no,1,no,2,Russian,3.71,3,1,20,D
M,no,3,no,20,Russian,3.71,4,1,19,D
M,no,1,yes,11,Russian,3.71,5,0,18,D
F,no,10,no,26,Russian,3.71,2,0,17,D
F,no,3,no,22,Russian,3.71,4,0,17,D
F,no,1,yes,12,Russian,3.72,4,0,18,D
F,yes,10,no,4,Russian,3.72,2,1,17,D
F,no,3,no,34,Russian,3.72,4,0,22,D
F,no,0,no,9,Russian,3.72,3,0,21,D
F,no,5,no,43,Russian,3.72,2,0,18,D
F,no,2,no,1,Russian,3.72,1,0,18,D
F,no,2,no,19,Russian,3.72,3,0,21,D
F,yes,4,no,2,Russian,3.72,3,0,20,D
M,no,1,no,34,Russian,3.72,3,1,21,D
F,no,4,yes,31,Russian,3.72,2,0,21,D
F,no,4,no,11,Russian,3.73,2,1,20,D
M,no,2,no,35,Russian,3.73,2,1,19,D
M,no,4,no,20,Russian,3.73,2,1,17,D
F,yes,0,no,22,Russian,3.73,1,1,19,D
F,no,3,no,2,Russian,3.73,2,1,17,D
M,no,7,no,1,Russian,3.73,4,0,21,D
F,no,4,no,34,Russian,3.73,3,0,19,D
M,yes,6,no,17,Russian,3.73,4,0,17,D
M,no,6,no,34,Russian,3.73,5,0,17,D
F,yes,5,no,25,Russian,3.73,4,1,20,D
M,no,3,no,8,Russian,3.73,5,0,17,D
M,no,3,no,4,Russian,3.74,1,0,18,D
F,no,1,yes,26,Russian,3.74,3,0,17,D
M,no,1,no,13,Russian,3.74,4,1,20,D
F,no,1,yes,4,Russian,3.74,3,0,19,D
M,no,2,no,27,Russian,3.74,1,1,17,D
M,no,5,no,32,Russian,3.74,1,0,20,D
F,no,1,no,25,Russian,3.74,5,1,20,D
F,no,1,no,13,Russian,3.74,1,0,20,D
M,no,1,no,31,Russian,3.74,1,0,21,D
F,no,3,no,8,Russian,3.74,2,0,18,D
M,yes,9,no,0,Russian,3.74,4,0,18,D
M,no,7,no,6,Russian,3.74,5,0,20,D
M,no,2,no,7,Russian,3.74,3,0,21,D
M,no,1,no,32,Russian,3.74,1,0,17,D
M,no,5,yes,30,Russian,3.74,3,1,19,D
M,no,9,no,4,Russian,3.74,3,0,20,D
F,no,5,no,15,Russian,3.74,5,1,20,D
M,no,2,no,2,Russian,3.74,4,1,18,D
M,no,8,yes,32,Russian,3.74,2,1,22,D
M,no,2,no,24,Russian,3.74,4,0,22,D
F,no,1,no,18,Russian,3.74,5,1,18,D
M,yes,10,no,5,Russian,3.75,1,0,18,D
F,yes,3,no,24,Russian,3.75,3,0,19,D
M,no,1,no,16,Russian,3.75,2,1,18,D
M,no,1,no,15,Russian,3.75,4,1,17,D
M,no,3,no,26,Russian,3.75,4,1,17,D
F,no,3,no,15,Russian,3.75,2,1,18,D
F,no,1,no,5,Russian,3.75,4,0,22,D
M,no,1,yes,14,Russian,3.75,1,0,21,D
M,no,4,no,1,Russian,3.75,1,1,22,D
M,no,5,no,10,Russian,3.75,4,1,18,D
F,no,6,no,5,Russian,3.75,3,1,19,D
M,no,2,no,26,Russian,3.75,5,0,20,D
F,no,2,yes,26,Russian,3.75,5,0,17,D
F,no,2,no,14,Russian,3.75,3,0,18,D
M,no,7,yes,21,Russian,3.76,4,1,19,D
F,no,2,no,32,Russian,3.76,4,1,22,D
M,no,0,no,30,Russian,3.76,2,1,18,D
F,no,3,no,13,Russian,3.76,2,1,19,D
F,no,7,no,33,Russian,3.76,5,1,19,D
F,no,3,no,15,Russian,3.76,4,1,22,D
M,no,10,no,33,Russian,3.76,2,0,17,D
M,no,2,no,11,Russian,3.76,3,0,21,D
F,no,2,no,30,Russian,3.76,2,1,21,D
F,no,7,no,2,Russian,3.76,1,1,21,D
M,no,3,no,4,Russian,3.76,5,1,21,D
M,no,3,no,32,Russian,3.76,3,1,20,D
F,yes,7,no,0,Russian,3.76,4,1,21,D
F,no,2,no,4,Russian,3.76,2,1,17,D
M,yes,10,yes,0,Russian,3.76,3,0,18,D
F,no,5,yes,21,Russian,3.76,5,1,17,D
F,no,2,no,29,Russian,3.76,5,0,18,D
M,no,3,no,32,Russian,3.76,3,1,17,D
F,no,7,no,14,Russian,3.76,5,1,20,D
M,no,1,no,25,Russian,3.76,5,1,18,D
M,no,7,yes,4,Russian,3.76,2,0,21,D
F,no,2,yes,32,Russian,3.76,3,0,20,D
M,no,2,no,7,Russian,3.76,2,1,21,D
F,yes,1,no,22,Russian,3.77,4,0,18,D
M,no,5,no,3,Russian,3.77,5,1,19,D
M,yes,8,no,1,Russian,3.77,4,1,20,D
M,no,4,yes,23,Russian,3.77,1,1,21,C
F,no,0,no,42,Russian,3.77,3,0,19,C
M,no,1,no,30,Russian,3.77,2,1,22,C
F,no,1,no,1,Russian,3.77,3,0,20,C
F,yes,3,yes,17,Russian,3.77,1,1,20,C
M,no,2,no,48,Russian,3.77,1,1,21,C
M,no,4,yes,24,Russian,3.77,2,0,17,C
F,no,6,no,31,Russian,3.77,1,0,22,C
M,yes,7,no,0,Russian,3.77,2,1,17,C
M,no,9,no,2,Russian,3.77,5,1,20,C
F,no,1,no,24,Russian,3.78,3,1,21,C
F,no,7,no,2,Russian,3.78,4,1,19,C
M,no,0,no,32,Russian,3.78,5,0,20,C
F,no,2,no,4,Russian,3.78,5,1,19,C
M,no,4,no,32,Russian,3.78,1,0,19,C
M,no,3,no,16,Russian,3.78,2,1,17,C
F,no,1,no,20,Russian,3.78,4,0,19,C
M,no,4,no,28,Russian,3.78,3,0,17,C
M,no,7,no,30,Russian,3.78,1,1,20,C
F,no,3,no,17,Russian,3.78,5,0,19,C
F,no,5,no,25,Russian,3.78,1,0,20,C
M,no,5,no,18,Russian,3.78,2,1,17,C
M,yes,1,no,23,Russian,3.78,5,0,22,C
M,no,4,yes,23,Russian,3.79,4,1,18,C
F,no,6,no,21,Russian,3.79,2,1,18,C
F,no,3,no,27,Russian,3.79,1,1,18,C
F,no,5,no,14,Russian,3.79,3,1,18,C
M,no,2,yes,37,Russian,3.79,4,1,17,C
M,no,3,no,29,Russian,3.79,1,0,21,C
M,yes,6,no,4,Russian,3.79,2,0,22,C
F,no,3,no,16,Russian,3.79,1,1,18,C
F,no,4,no,30,Russian,3.79,1,1,19,C
M,yes,7,no,1,Russian,3.79,4,1,17,C
M,no,3,yes,24,Russian,3.79,5,0,17,C
F,no,2,no,35,Russian,3.79,5,1,22,C
F,no,1,no,14,Russian,3.79,1,0,18,C
F,no,1,no,3,Russian,3.79,4,1,18,C
F,no,4,no,15,Russian,3.79,3,0,22,C
M,no,5,no,23,Russian,3.79,2,0,21,C
M,no,6,no,19,Russian,3.79,5,1,19,C
M,no,3,no,33,Russian,3.79,3,0,22,C
F,no,0,no,14,Russian,3.79,5,1,18,C
F,no,1,yes,0,Russian,3.79,1,1,21,C
F,no,1,no,34,Russian,3.79,4,0,20,C
M,no,5,no,33,Russian,3.79,2,1,17,C
F,no,7,no,7,Russian,3.79,4,1,20,C
M,no,2,no,18,Russian,3.79,2,0,19,C
M,no,9,no,4,Russian,3.79,1,1,21,C
M,no,6,no,10,Russian,3.8,2,0,20,C
M,yes,2,no,22,Russian,3.8,1,1,17,C
F,no,5,no,28,Russian,3.8,5,0,19,C
M,no,2,no,2,Russian,3.8,4,0,18,C
F,no,1,no,0,Russian,3.8,4,1,20,C
M,no,3,no,24,Russian,3.8,3,0,18,C
M,no,2,no,15,Russian,3.8,5,1,18,C
F,yes,2,no,1,Russian,3.8,2,0,22,C
M,no,1,no,8,Russian,3.8,4,1,19,C
F,no,7,no,9,Russian,3.8,4,1,19,C
M,no,4,no,33,Russian,3.8,1,1,21,C
F,no,3,no,32,Russian,3.8,3,0,20,C
F,yes,9,no,4,Russian,3.8,1,0,22,C
M,no,2,no,2,Russian,3.8,4,1,18,C
M,no,3,no,20,Russian,3.8,3,1,21,C
F,no,1,no,21,Russian,3.8,5,1,17,C
F,no,3,no,29,Russian,3.8,4,1,17,C
F,no,3,no,13,Russian,3.8,3,0,20,C
M,no,1,no,24,Russian,3.8,3,1,19,C
M,no,7,no,30,Russian,3.8,1,1,20,C
M,no,1,no,25,Russian,3.8,3,0,20,C
M,no,1,no,1,Russian,3.81,4,1,20,C
M,no,4,no,27,Russian,3.81,5,1,18,C
M,no,0,yes,4,Russian,3.81,5,1,18,C
F,no,2,yes,32,Russian,3.81,3,0,18,C
F,no,1,no,1,Russian,3.81,1,0,20,C
F,no,2,no,32,Russian,3.81,3,0,22,C
F,no,1,yes,4,Russian,3.81,3,0,19,C
M,no,4,no,28,Russian,3.81,1,0,17,C
F,no,3,yes,32,Russian,3.81,4,1,17,C
F,no,1,no,33,Russian,3.81,2,0,20,C
M,yes,2,no,4,Russian,3.81,2,0,21,C
M,no,1,no,31,Russian,3.81,3,1,21,C
M,no,5,no,17,Russian,3.81,2,0,19,C
M,no,2,no,23,Russian,3.81,3,1,17,C
F,no,0,no,29,Russian,3.81,1,0,17,C
M,no,2,no,19,Russian,3.81,5,0,18,C
M,yes,4,yes,26,Russian,3.81,5,0,21,C
F,no,7,no,7,Russian,3.81,2,0,18,C
F,no,6,no,4,Russian,3.81,3,1,19,C
M,no,6,no,22,Russian,3.81,1,0,22,C
M,yes,6,yes,4,Russian,3.81,3,1,20,C
F,no,3,no,29,Russian,3.81,2,1,22,C
M,no,8,yes,21,Russian,3.81,1,1,20,C
F,no,3,no,5,Russian,3.81,4,1,18,C
M,no,5,no,15,Russian,3.81,4,1,18,C
M,no,3,yes,10,Russian,3.81,3,1,22,C
F,yes,7,no,2,Russian,3.81,5,1,21,C
F,no,4,yes,0,Russian,3.81,1,1,22,C
M,no,5,yes,3,Russian,3.81,5,1,20,C
F,no,6,yes,1,Russian,3.81,5,0,19,C
F,no,3,yes,26,Russian,3.81,5,0,20,C
F,yes,5,no,2,Russian,3.81,1,1,17,C
F,no,3,no,21,Russian,3.81,4,1,21,C
F,no,10,no,5,Russian,3.82,2,0,21,C
F,yes,10,no,5,Russian,3.82,3,0,19,C
F,no,5,no,0,Russian,3.82,4,0,20,C
F,no,5,yes,10,Russian,3.82,5,1,17,C
M,no,5,no,2,Russian,3.82,5,1,19,C
F,no,5,yes,24,Russian,3.82,2,1,21,C
M,no,4,no,46,Russian,3.82,3,1,17,C
M,no,3,no,31,Russian,3.82,3,1,22,C
M,no,1,no,33,Russian,3.82,5,1,19,C
F,no,5,no,26,Russian,3.82,1,0,22,C
M,no,2,no,19,Russian,3.82,1,0,18,C
